iter	MultiClass
2596	0.002121025723
2597	0.002120692548
2598	0.002119552194
2599	0.002119089836
2600	0.002118158574
2601	0.002117302823
2602	0.002115967566
2603	0.00211488815
2604	0.002113918624
2605	0.00211312598
2606	0.002112545579
2607	0.002111625929
2608	0.002110964546
2609	0.002110237099
2610	0.002109693984
2611	0.002108805371
2612	0.002107883329
2613	0.002107202708
2614	0.002106163036
2615	0.002105118073
2616	0.002104095363
2617	0.002102775839
2618	0.002101771949
2619	0.002100853345
2620	0.002100013494
2621	0.002098648405
2622	0.002097536562
2623	0.002096387433
2624	0.002095350135
2625	0.002093583649
2626	0.002092848427
2627	0.002091644391
2628	0.002090552449
2629	0.002089945357
2630	0.002089018887
2631	0.002087974106
2632	0.002086863539
2633	0.002085934402
2634	0.002084864756
2635	0.002083519478
2636	0.002082892188
2637	0.002082381427
2638	0.002081580173
2639	0.00208039503
2640	0.002079202593
2641	0.002078798828
2642	0.002077183124
2643	0.002076218707
2644	0.002075496911
2645	0.002074420765
2646	0.002073400763
2647	0.002072917566
2648	0.002072347357
2649	0.002071824
2650	0.002071308966
2651	0.002070525037
2652	0.002069460804
2653	0.002069303601
2654	0.002068449185
2655	0.002067640266
2656	0.002066726982
2657	0.00206556702
2658	0.002065199522
2659	0.002064840858
2660	0.002064073269
2661	0.00206324329
2662	0.002062753612
2663	0.002062231553
2664	0.002061265292
2665	0.002060195718
2666	0.002059201413
2667	0.002058164255
2668	0.002057333352
2669	0.002055793276
2670	0.002055074345
2671	0.002054531168
2672	0.002053708542
2673	0.002052633919
2674	0.002051845408
2675	0.002050864021
2676	0.002049687921
2677	0.002049066531
2678	0.002048679615
2679	0.002047492472
2680	0.002046654795
2681	0.002046234645
2682	0.002045518926
2683	0.002044668136
2684	0.002043933387
2685	0.002042728489
2686	0.002042130061
2687	0.002040568184
2688	0.002039918042
2689	0.002039274554
2690	0.002038439114
2691	0.00203719525
2692	0.002036497113
2693	0.002035168063
2694	0.002034941818
2695	0.00203384253
2696	0.002033205814
2697	0.002032405863
2698	0.002031702019
2699	0.00203078007
2700	0.002030093773
2701	0.002029247636
2702	0.002028391742
2703	0.002027551394
2704	0.002026782015
2705	0.002025635478
2706	0.002024186783
2707	0.002023429701
2708	0.00202274849
2709	0.002022065574
2710	0.002021557482
2711	0.002020522276
2712	0.002019509914
2713	0.002018739505
2714	0.002018258479
2715	0.002017540711
2716	0.00201696916
2717	0.002016276581
2718	0.002016072559
2719	0.002014937042
2720	0.002014044905
2721	0.00201328478
2722	0.002012802358
2723	0.002012019557
2724	0.002011376375
2725	0.002010274031
2726	0.002009769547
2727	0.002009160252
2728	0.002008660346
2729	0.002007762361
2730	0.002006806213
2731	0.002006347052
2732	0.002005565574
2733	0.002004733316
2734	0.002003992419
2735	0.002003332223
2736	0.002002758689
2737	0.002001918024
2738	0.002000377134
2739	0.001999201375
2740	0.001998074194
2741	0.001996854538
2742	0.001995712344
2743	0.001995168734
2744	0.001994701766
2745	0.001994061529
2746	0.001993384069
2747	0.001992772179
2748	0.001992136369
2749	0.001991400519
2750	0.001990064927
2751	0.001989311585
2752	0.001988702351
2753	0.001988286828
2754	0.001987454245
2755	0.001986860133
2756	0.001985692853
2757	0.001984902433
2758	0.001984175202
2759	0.001983446055
2760	0.001982772907
2761	0.001981944764
2762	0.001981405713
2763	0.001980972249
2764	0.001980394937
2765	0.001979950213
2766	0.001978448435
2767	0.001977322302
2768	0.001976716651
2769	0.00197588602
2770	0.001975598074
2771	0.001974790957
2772	0.001973378774
2773	0.001972558064
2774	0.001972206294
2775	0.00197119733
2776	0.001969972057
2777	0.001968972284
2778	0.001968569327
2779	0.001967976497
2780	0.001967282801
2781	0.001966517539
2782	0.001965587892
2783	0.001965072878
2784	0.001964324646
2785	0.001963545037
2786	0.001962990501
2787	0.001962045637
2788	0.00196160735
2789	0.001960748754
2790	0.00195971212
2791	0.00195911587
2792	0.001958019292
2793	0.001957059906
2794	0.001955693406
2795	0.001955062888
2796	0.001954595513
2797	0.001954011436
2798	0.001953202749
2799	0.001952252648
2800	0.001951430422
2801	0.001951055472
2802	0.001950657395
2803	0.00195015651
2804	0.00194963564
2805	0.00194948198
2806	0.00194902953
2807	0.001948463643
2808	0.001948054057
2809	0.001947158306
2810	0.00194633579
2811	0.001945767714
2812	0.001944585362
2813	0.001944033612
2814	0.001943214973
2815	0.001942387615
2816	0.001941577387
2817	0.001940132334
2818	0.001939393233
2819	0.001938310886
2820	0.001937156083
2821	0.001935827168
2822	0.001935043085
2823	0.00193420001
2824	0.001933488882
2825	0.001932970792
2826	0.001932217476
2827	0.001931258919
2828	0.001930675434
2829	0.001930048266
2830	0.00192944552
2831	0.001928549065
2832	0.001927413803
2833	0.001926720212
2834	0.001925251475
2835	0.001924624203
2836	0.001924029786
2837	0.001922823755
2838	0.001921861675
2839	0.001921146903
2840	0.001920641513
2841	0.001920244996
2842	0.001919413304
2843	0.001918435994
2844	0.001917878327
2845	0.00191731378
2846	0.00191642968
2847	0.001915620436
2848	0.001915051869
2849	0.001914216572
2850	0.001913393766
2851	0.001912976533
2852	0.001912124018
2853	0.001911588974
2854	0.001910918287
2855	0.001910077268
2856	0.00190926772
2857	0.001908592905
2858	0.001908116703
2859	0.001907491768
2860	0.001906567064
2861	0.001905741085
2862	0.001905346906
2863	0.001904825924
2864	0.001904348307
2865	0.001903356865
2866	0.001902731072
2867	0.0019020322
2868	0.001901555913
2869	0.001901001811
2870	0.001900256326
2871	0.001898977359
2872	0.001898275661
2873	0.001898012879
2874	0.001897061981
2875	0.001895758399
2876	0.001895139699
2877	0.00189454604
2878	0.001893320872
2879	0.001892949089
2880	0.001891952529
2881	0.001891218129
2882	0.001889864923
2883	0.001889028081
2884	0.001888469111
2885	0.001887417676
2886	0.001886718618
2887	0.001886211575
2888	0.001885512269
2889	0.001884747814
2890	0.001883768808
2891	0.001882889072
2892	0.001881757791
2893	0.001881092284
2894	0.001880471838
